iter	Passed	Remaining
445	1180	1466
446	1181	1462
447	1183	1458
448	1185	1454
449	1186	1450
450	1188	1447
451	1191	1444
452	1192	1439
453	1193	1435
454	1195	1432
455	1197	1428
456	1198	1424
457	1201	1421
458	1202	1417
459	1204	1413
460	1205	1410
461	1207	1405
462	1209	1402
463	1210	1398
464	1212	1394
465	1213	1390
466	1215	1387
467	1216	1382
468	1217	1378
469	1219	1375
470	1220	1371
471	1223	1368
472	1226	1366
473	1227	1362
474	1228	1358
475	1230	1354
476	1231	1350
477	1233	1346
478	1235	1343
479	1237	1340
480	1238	1336
481	1239	1332
482	1241	1329
483	1243	1326
484	1245	1322
485	1246	1318
486	1249	1315
487	1250	1311
488	1251	1307
489	1253	1304
490	1255	1301
491	1256	1297
492	1258	1294
493	1260	1290
494	1261	1286
495	1262	1283
496	1264	1279
497	1265	1276
498	1268	1273
499	1269	1269
500	1271	1266
501	1273	1262
502	1274	1259
503	1276	1255
504	1277	1252
505	1281	1251
506	1284	1248
507	1286	1246
508	1288	1242
509	1290	1239
510	1291	1236
511	1293	1232
512	1294	1229
513	1297	1226
514	1298	1223
515	1300	1219
516	1303	1217
517	1304	1213
518	1306	1210
519	1307	1207
520	1309	1203
521	1310	1200
522	1312	1197
523	1314	1193
524	1315	1190
525	1317	1187
526	1318	1183
527	1320	1180
528	1321	1176
529	1323	1174
530	1325	1170
531	1327	1167
532	1330	1165
533	1331	1161
534	1333	1159
535	1335	1155
536	1337	1152
537	1339	1150
538	1341	1147
539	1342	1143
540	1345	1141
541	1346	1138
542	1348	1135
543	1350	1132
544	1352	1129
545	1356	1127
546	1358	1125
547	1360	1122
548	1361	1118
549	1365	1117
550	1367	1114
551	1369	1111
552	1372	1109
553	1374	1106
554	1376	1103
555	1380	1102
556	1381	1099
557	1384	1096
558	1385	1093
559	1387	1090
560	1389	1087
561	1391	1084
562	1393	1081
563	1394	1078
564	1396	1074
565	1398	1072
566	1401	1070
567	1403	1067
568	1406	1065
569	1407	1061
570	1425	1070
571	1426	1067
572	1427	1064
573	1429	1060
574	1431	1057
575	1432	1054
576	1433	1051
577	1437	1049
578	1439	1046
579	1441	1043
580	1442	1040
581	1445	1038
582	1446	1034
583	1449	1032
584	1452	1030
585	1453	1027
586	1454	1023
587	1456	1020
588	1459	1018
589	1461	1015
590	1463	1012
591	1465	1009
592	1466	1006
593	1468	1003
594	1470	1000
595	1471	997
596	1474	995
597	1475	992
598	1477	989
599	1478	985
600	1480	982
601	1482	980
602	1485	977
603	1486	974
604	1487	971
605	1489	968
606	1491	965
607	1492	962
608	1493	959
609	1495	955
610	1497	953
611	1501	952
612	1503	949
613	1506	946
614	1508	944
615	1512	942
616	1516	941
617	1517	938
618	1521	936
619	1524	934
620	1526	931
621	1527	928
622	1529	925
623	1533	924
624	1534	920
625	1536	918
626	1538	915
627	1539	912
628	1541	909
629	1544	907
630	1546	904
631	1548	901
632	1551	899
633	1553	896
634	1555	893
635	1559	892
636	1561	889
637	1564	887
638	1565	884
639	1569	883
640	1571	880
641	1573	877
642	1575	874
643	1578	872
644	1579	869
645	1582	867
646	1583	864
647	1586	861
648	1587	858
649	1589	855
650	1590	852
651	1592	849
652	1595	847
653	1597	844
654	1599	842
655	1601	839
656	1604	837
657	1606	834
658	1607	831
659	1609	829
660	1611	826
661	1613	823
662	1614	820
663	1616	818
664	1618	815
665	1620	812
666	1621	809
667	1624	807
668	1625	804
669	1627	801
670	1629	798
671	1631	796
672	1632	793
673	1635	790
674	1636	788
675	1639	785
676	1641	783
677	1644	780
678	1646	778
679	1647	775
680	1651	773
681	1655	771
682	1657	769
683	1659	766
684	1664	765
685	1666	763
686	1668	760
687	1670	757
688	1671	754
689	1674	752
690	1676	749
691	1679	747
692	1681	744
693	1683	742
694	1684	739
695	1687	736
696	1689	734
697	1691	731
698	1693	729
699	1695	726
700	1697	723
701	1699	721
702	1701	718
703	1703	716
704	1705	713
705	1706	710
706	1709	708
707	1711	705
708	1712	702
709	1714	700
710	1717	698
711	1719	695
712	1721	692
713	1724	690
714	1726	688
715	1729	686
716	1731	683
717	1734	681
718	1737	679
719	1740	676
720	1742	674
721	1743	671
722	1744	668
723	1749	666
724	1751	664
725	1753	661
726	1755	659
727	1756	656
728	1759	654
729	1761	651
730	1762	648
731	1764	646
732	1766	643
733	1768	641
734	1770	638
735	1772	635
736	1773	632
737	1775	630
738	1777	627
739	1779	625
740	1781	622
741	1783	620
742	1785	617
743	1787	614
744	1790	612
745	1792	610
746	1795	608
747	1797	605
748	1799	603
749	1801	600
750	1803	597
751	1806	595
752	1808	593
753	1810	590
754	1811	587
755	1814	585
756	1816	582
757	1818	580
758	1820	578
759	1822	575
760	1826	573
761	1828	571
762	1831	568
763	1832	566
764	1835	563
765	1837	561
766	1838	558
767	1840	555
768	1841	553
769	1844	550
770	1846	548
771	1848	546
772	1850	543
773	1852	540
774	1854	538
775	1856	535
776	1857	533
777	1859	530
778	1861	528
779	1863	525
780	1865	522
781	1869	521
782	1871	518
783	1872	515
784	1874	513
785	1876	510
786	1878	508
787	1880	505
788	1883	503
789	1885	501
790	1886	498
791	1889	496
792	1891	493
793	1893	491
794	1894	488
795	1896	486
796	1898	483
797	1900	481
798	1901	478
799	1904	476
800	1906	473
801	1908	471
802	1909	468
803	1912	466
804	1915	464
805	1919	461
806	1921	459
807	1923	456
808	1925	454
809	1927	452
810	1930	449
811	1931	447
812	1933	444
813	1936	442
814	1941	440
815	1944	438
816	1946	436
817	1948	433
818	1950	431
819	1952	428
820	1956	426
821	1961	424
822	1963	422
823	1965	419
824	1967	417
825	1973	415
826	1976	413
827	1977	410
828	1978	408
829	1980	405
830	1982	403
831	1984	400
832	1986	398
833	1992	396
834	1994	394
835	1998	392
836	2001	389
837	2006	387
838	2010	385
839	2012	383
840	2015	381
841	2017	378
842	2020	376
843	2022	373
844	2024	371
845	2026	368
846	2027	366
847	2029	363
848	2032	361
849	2034	359
850	2036	356
851	2039	354
852	2043	352
853	2044	349
854	2046	347
855	2052	345
856	2056	343
857	2057	340
858	2061	338
859	2065	336
860	2067	333
861	2069	331
862	2071	328
863	2073	326
864	2075	323
865	2077	321
866	2079	318
867	2082	316
868	2084	314
869	2087	311
870	2107	312
871	2110	309
872	2112	307
873	2114	304
874	2116	302
875	2119	299
876	2120	297
877	2122	294
878	2123	292
879	2126	290
880	2131	287
881	2133	285
882	2135	282
883	2137	280
884	2141	278
885	2143	275
886	2147	273
887	2151	271
888	2154	268
889	2156	266
890	2158	264
891	2161	261
892	2164	259
893	2166	256
894	2170	254
895	2172	252
896	2174	249
897	2177	247
898	2179	244
899	2181	242
900	2184	239
901	2185	237
902	2187	235
903	2190	232
904	2191	230
905	2192	227
906	2195	225
907	2196	222
908	2199	220
909	2203	217
910	2205	215
911	2206	212
912	2209	210
913	2211	208
914	2213	205
915	2214	203
916	2217	200
917	2220	198
918	2222	195
919	2223	193
920	2225	190
921	2227	188
922	2230	186
923	2233	183
924	2235	181
925	2238	178
926	2240	176
927	2242	173
928	2246	171
929	2248	169
930	2252	166
931	2256	164
932	2260	162
933	2262	159
934	2264	157
935	2266	154
936	2268	152
937	2271	150
938	2274	147
939	2278	145
940	2281	143
941	2286	140
942	2288	138
943	2290	135
944	2294	133
945	2299	131
946	2302	128
947	2310	126
948	2311	124
949	2314	121
950	2317	119
951	2321	117
952	2324	114
953	2326	112
954	2328	109
955	2330	107
956	2332	104
957	2334	102
958	2339	100
959	2341	97
960	2344	95
961	2346	92
962	2350	90
963	2352	87
964	2353	85
965	2356	82
966	2358	80
967	2360	78
968	2366	75
969	2369	73
970	2370	70
971	2374	68
972	2380	66
973	2383	63
974	2387	61
975	2391	58
976	2394	56
977	2397	53
978	2402	51
979	2411	49
980	2415	46
981	2418	44
982	2420	41
983	2424	39
984	2427	36
985	2429	34
986	2432	32
987	2434	29
988	2440	27
989	2444	24
990	2449	22
991	2452	19
992	2454	17
993	2458	14
994	2460	12
995	2463	9
996	2469	7
997	2473	4
998	2482	2
999	2491	0
